Feature,Importance
Sem2_pass_rate,0.18815432594466816
Curricular units 2nd sem (approved),0.1145006374141663
Sem1_pass_rate,0.10889457030080268
Curricular units 2nd sem (grade),0.09517642683176057
Curricular units 1st sem (approved),0.06122574791416201
Tuition fees up to date,0.054693905588922315
Curricular units 1st sem (grade),0.050456876606028135
Age at enrollment,0.03137196799490122
Course,0.025766057125177547
Admission grade,0.024271049682817118
